length,hostname_length,Special_Char_Count,HTTPS,urlDigits_ratio,hostnameDigits_ratio
32,18,9,0,0.0,0.0
43,32,7,0,0.0,0.0
26,27,4,0,0.0,0.0
24,19,5,1,0.041666666666666664,0.0
50,28,9,0,0.0,0.0
88,22,11,0,0.2159090909090909,0.0
44,24,9,0,0.045454545454545456,0.08333333333333333
180,50,26,1,0.05,0.0
56,27,9,1,0.0,0.0
80,26,14,0,0.0,0.0
44,25,9,0,0.18181818181818182,0.0
86,19,12,1,0.1744186046511628,0.0
88,32,14,1,0.0,0.0
154,41,23,1,0.09090909090909091,0.07317073170731707
56,31,9,1,0.0,0.0
197,22,15,0,0.36548223350253806,0.0
396,22,89,1,0.047979797979797977,0.5
34,35,5,1,0.029411764705882353,0.02857142857142857
38,17,6,0,0.05263157894736842,0.0
121,66,16,1,0.14049586776859505,0.10606060606060606
32,19,6,1,0.0625,0.0
177,40,22,0,0.07909604519774012,0.0
77,22,12,0,0.07792207792207792,0.0
60,23,8,0,0.0,0.0
30,23,6,0,0.0,0.0
65,29,12,1,0.09230769230769231,0.0
21,16,5,1,0.14285714285714285,0.0
59,21,13,0,0.1864406779661017,0.14285714285714285
48,35,7,0,0.0625,0.08571428571428572
63,28,10,0,0.0,0.0
62,26,11,1,0.0967741935483871,0.23076923076923078
48,30,8,0,0.0,0.0
38,33,7,0,0.0,0.0
106,39,15,1,0.08490566037735849,0.0
33,33,6,1,0.06060606060606061,0.06060606060606061
26,18,6,0,0.0,0.0
52,26,11,0,0.11538461538461539,0.0
171,26,22,0,0.30409356725146197,0.0
24,18,6,0,0.08333333333333333,0.0
41,28,6,0,0.0,0.0
136,59,21,1,0.1323529411764706,0.0
79,29,12,0,0.0,0.0
33,24,7,0,0.030303030303030304,0.041666666666666664
74,20,15,0,0.0,0.0
65,33,10,1,0.12307692307692308,0.0
53,23,10,0,0.03773584905660377,0.0
86,44,13,0,0.023255813953488372,0.045454545454545456
69,69,8,0,0.07246376811594203,0.07246376811594203
93,30,13,1,0.0,0.0
90,19,16,0,0.0,0.0
28,23,8,0,0.0,0.0
116,31,22,1,0.07758620689655173,0.0
52,23,11,0,0.019230769230769232,0.043478260869565216
79,30,13,0,0.0759493670886076,0.0
199,24,8,1,0.1407035175879397,0.0
58,19,12,1,0.0,0.0
55,45,11,0,0.10909090909090909,0.13333333333333333
63,63,11,1,0.06349206349206349,0.06349206349206349
70,17,16,0,0.0,0.0
41,33,6,0,0.1951219512195122,0.24242424242424243
436,19,17,0,0.5871559633027523,0.15789473684210525
115,32,18,1,0.06956521739130435,0.0
86,27,9,0,0.36046511627906974,0.0
81,30,14,0,0.0,0.0
37,37,6,0,0.10810810810810811,0.10810810810810811
62,23,10,0,0.0,0.0
72,31,11,0,0.08333333333333333,0.0
59,35,13,1,0.0,0.0
86,37,11,0,0.1744186046511628,0.0
42,16,10,0,0.14285714285714285,0.0
100,22,19,0,0.0,0.0
305,25,39,1,0.29508196721311475,0.0
40,23,9,0,0.0,0.0
42,43,5,0,0.023809523809523808,0.023255813953488372
39,39,7,1,0.0,0.0
60,31,9,0,0.1,0.0
66,38,13,0,0.0,0.0
127,29,16,0,0.0,0.0
25,25,5,1,0.0,0.0
60,22,10,0,0.0,0.0
61,28,10,1,0.0,0.0
57,20,12,0,0.0,0.0
30,21,7,1,0.0,0.0
118,20,16,0,0.23728813559322035,0.15
30,24,7,0,0.0,0.0
63,33,8,0,0.12698412698412698,0.24242424242424243
74,24,13,1,0.20270270270270271,0.0
105,27,16,1,0.05714285714285714,0.0
74,34,13,1,0.08108108108108109,0.0
59,33,6,1,0.0,0.0
20,13,5,1,0.15,0.0
68,50,9,0,0.22058823529411764,0.0
50,50,6,0,0.08,0.08
